Kalenjin,Kiswahili
Koib chemosit Kijitu? ,Kijitu kuja kumtetea jitu?
kab chi ko u tienwagik chebo baibaiet,Familia ni kama  nyimbo za furaha.
"Nganda kimakomochei kochutyi kirwokonoto kibo ngoiyondit eng iche, ko kiibwatyi kit nekiityi kwanitab Asisi ","Ingawa hakutaka kuingilia hiyo kesi iliyohusu ugomvi baina yao, Kipokeo alimkumbusha kilichompatta baba yakke huyo Asisi."
Ketepi eng meset koipu kipakenge eng kapchi,Kuketi kwa meza huimarisha umoja wa familia.
Oo maat acheng'e urwet,"Kuna joto jingi,natafuta kivuli"
magat komiten Sheria neribe olebenditoi karishek,Lazima kama ibada pawe na sheria ya kudhibiti mwendo kasi
Amitwogik che lolong kokochini borto lolongiet,Vyakula vya joto hupasha moto mwili.
amu miten tuiyetab biik cheechen chebo siaset ,Kuna sababu ya mikutano ya kisiasa baina ya watu wawili wakuu
Chopisiet nemie ko muguleldo ne kainemgei ak boiboiyet,upishi bora ni moyo wa kujitolea na upendo.
Siret ab emotunuekab sang komuchi koib kasarwek,Soko la kimataifa linaweza kuleta fursa
Achame awendi Kericho gila kenyit,Ninapenda kwenda Kericho kila mwaka
toreti missing eng mungaret,Itasaidia pakubwa katika biashara yenyewe.
Ne loo eng' notok biik ab emet che chang komache amitwogik ab kasari che makinyoru konegit,Mbali na haya wananchi wengi wanataka vyakula vya kiasili ambayo ni nadra sana kupatikana.
Mamiten  pik che mache koal imbaret,Hakuna watu wanataka kununu shjamba
Kikiame netelechin chepkondok Kora eng ngolyo age tugul ne kimwaita neo akotet chechi cheterchin,Katibu naye alilaumiwa kwa kupinga kila jambo alilolipendekeza mwenyekiti na kupanga ratiba zake za vilabu kinyume na kanunu.
Anao inendet kokiindochin kampunit nebo aldaetab kerichekab bogitet ,Anao mwenyewe aliendesha shirika lililoshughulikia dawa za kulevya.
abistei cje kakisich eng arawet agenge,Wanapozaliwa ninawaacha kwa muda wa mwezi mmoja
Tinye tuget ne kararan chepyoset no,Mwanamke huyo ana sauti nzuri.
Kimache  pik kokonech poroindo kiten kityok,Tunataka watu watupee nafasi kidogo tu
Mung'aretab chepkondok,Biashara ya pesa
otindiot kobunu youtik,Mapisi hutokana na matendo.
kenya ko emet nenyitat kalyet,Kenya ni nchi imejaa amani
Ketoroch kaimutik ko yain iegu kapelindet mutai,Kukumbatia changamoto kunakufanya kuwa mshindi wa kesho.
Kipsomanik chotok ko kowal atepto ngwai akobo chomiet ak alak,Wanafunzi hao wamebadilisha tabia na mienendo yao kwa kujihusisha kimapenzi na wengine 
kisirto chichoton  en nyasutiet ab ndekeit,Alikufa kwa ajali ya ndege
 Kikosan koitu konetinte ne bo ngereza sukul raoni., Mwalimu wa kingereza alikosa kufika shuleni leo.
matukubwoni kokeny kiprutoinik emet nyo,Watalii wamekuwa hawazuru tena nchi yetu.
Ng'alio nitok ko koyai tibik ko bargei si kometo aibu chebo kenem moatinikwek eng' sang nebo katunishet,Hali hii imesababisha kwa wasichana kujitoa uhai ili kuepukana na aibu za ujauzito nje ya ndoa.
makitach toek age tugul kenyit noto,Hatukuweza kupokea wageni wowote mwaka huo
Imuchi inendet kong'alal eng' tait ap piik chechang',Yeye anaweza kuongea mbele ya watu wengi
kiinget biik chechang nekikosirto Nelson Mandela,watu wengi walimfahamu hayati Nelson Mandela. 
kibaibai kotomo konyor kabarastaosiek che yaach,alikua akifurahi kabla ya kupata habari hizo mbaya
chamiet ko nebo kamangut missing eng sabet,Kupendana ni muhimu sana maishani
kiitou kuwolu robinikab emenyo,Dhamani ya pesa za nchi yetu iliana kushuka
kap chi koegu eng komi kaimutik anan komami,Familia inakua kwa pamoja na changamoto.
Kikaput en tiemutik choton ,Alikuwa amenguka kwa  mtihani iyo
nyikanet ko kirir betut noto,Kijasiri alianza kulia hiyo siku.
Kirepe tukuk ab tupcheshek,Tunatunza vifaa vya familia.
bwoni kiprutoinik emenyo konyil che chang' kubaibaigei akotoben komoswek che kororon.,Watalii huzuru nchi yetu mara kwa mara ili kujiburudisha na mandhari nzuri.
Kitanae ng'o kole tos bit ngalek chu?,Nani alijua haya yote yangetokea?
chito neng'om nekiindoi eng eme ileku kabotin?,yaani janjuzi uliyeongoza taifa nzima  ukaja kuwa mkulima?
Kitebe kounoto eng kasarta ,Walikaa vile kwa muda.
kikioldoen guniekab kiloitab tomonwogik sokol silingisiek elipu somok,"Bei ya mahindi ilikuwa Sh3,000 kwa gunia moja la kilo 90."
aman itinyu akuicheru bururut,sikio langu langu linauma na kutoa usaha
mito yautik chechang' chebo  asoya,Kuna aina nyingi za ufisadi nchini kenya
Kinetekee kachililutik eng mungaret,Unajifunza kutokana na makosa katika biashara
keteshi choto ko kanyuiset koyayagse yomi kodendi karishek eng chokchinet,"Fauka ya hayo, ajali mara nyingi husababishwa na mwendo kasi"
chenyoru baibaiyet eng mbitet nebo emet nebo sang koanyor koker mbiret amun korona,Mashabiki wa Ligi Kuu ya Uingereza walikosa kushabikia kwa sababu ya ukongo wa corona.
ibu siaset eng emet keyochi chii kiiy amu kainem kiy asigetore inendet,"Minghairi ya hayo, shughuli za kisiasa huleta ufisadi nchini."
kiyoei poishet eng kot akenge eng naganaset noto,alikuwa akifanya kazi katika jumba mmoja hapo mjini.
"Kimuchi kealda eng sang tai kokoron oratinwek, kimwochkei","Tunaweza kuuza nje ya konde na bonde hili mradi barabara zetu ni safi, alijiambia."
sich muguleldo ne risyini gei ng'ony si we ole loo,kuwa na moyo wa unyenyekevu na utaenda mbali
Piik che tinye itondo ne tui ko kekoini boishet ne ui ak piik chelelach kekoini boishet ne wesisi,Watu wenye rangi nyeusi hupewa kazi sulubu na wenye rangi nyeupe hupewa kazi geperi.
 kikol sukul logoek che terotin., Shule imepanda matunda ya haina mbalimbali.
Kapkoima ko wui oletinyei ungotietap chopisiet nemie,Jiko ni mahali penye siri za mapishi bora.
Kiayat tireshet akopiro koristo akolenjon kararanitu betut,Nilifungua dirisha hilo na upepo ulinikaribisha kuniambia kuwa siku ingekuwa nzuri
Kamwa kanoindet ab emoni William Arap Ruto kole chengchini bik ab Kenya kasisiek eng' emotunuek ab sang,Rais William Ruto anasema anawatafutia wakenya Kazi nje ya nchi
ibwat babait ne matinye kasit maimuche kolipan kot ak che bo sukul,"Fikiria yule baba asiye na ajira, hawezi kulipa kodi ya nyumba sembuse karo!"
ak kokinyor sautit nyi,"Naam, aliipata sauti yake."
Jehovah ko lapkeyet ab sobondanyu,Munyu ni mwangaza wa maisha yangu kila siku
agoi kuyan chitugul kole beku koroi,Ni lazima kila mtu aamini kuwa ugonjwa huu utaisha
mabendi karisiek alak amu kikiete biik komong'u eng' korik,baadhi ya magari hayakuwa ya kisafiri kwa vile tuliekewa zuio la kutoka nyumbani.
mwoe tugul kole metun kenyil kechobei eng emet age,Wote wamebaki kusema kuamini kuwa wataumbwa tena katika ulimwengu  mwingine.
 Kiket karit eng chokchinee ako marat mishipit., Aliendesha gari kwa kasi sana bila kufunga mshipi.
"kitomo anyoo,kowolu Shuju","Nilikuwa sijaja, Shuku akajibu."
Meng'ndos icheket eng' poipoiyet,Wao wanaishi kwa furaha pamoja.
"oldochini tukuchoto chemung'arainik chemi sokesiekab Kisii,Kisumu ak Kakamega","Huuza viazi vyake kwa wafanyibiashara katika soko la Kisii mjini, Kisumu na Kakamega."
musarekap mchelek ko amitwogikap koimen,Uji wa mchele ni chakula cha jioni 
eng' notok anyun ko naegei akoek kibagenge eng' chobet ab oret,"Hivyo basi, watajuana na kushirikiana pamoja katika kujenga reli."
Kitangany agot konetik ,Aliwashangaza hata walimu.
tinyei olye nebo barak omitwogikab duket,chakula cha madukani kina gharama nyingi
Nguno ongelewen kandoik che ibu kawalet ter eng kokqenyo,Basi tuwachague viongozi bora na ambao wataleta tofauti katika jamii yetu
Komoswek che ter nebo emenyo kotinye pek che rotu kongete tulwet,Sehemu mbalimbali za nchi yetu zina maji yanayoteremka kutoka mlimani
nda kitoi ofisishek chebo kekas namet ab asoya chebo bik ,"Aidha, kuanzishwa kwa ofisi ya uchunguzi maalum watu Kusikiliza malalamiko ya umma ambapo umma unaweza kuripoti kuhusu ufisadi."
Kikimiten ak  chorwenyuk  London,Tulikuwa na rafiki yangu lodon 
Kichorkei Jesu konyo ingweny kobuni kipsengwet,Alishuka Yesu kutoka mbinguni aje huku ulimwenguni
iwolunen butekab korik etekab muguka,Alisema ni kupitia marufuku ya muguka ambapo pia talaka nyingi zinazoshuhudiwa zitapungua
 Mpiret ne bo kelto kechome ochei eng ngony komugul.,Mpira wa miguu ni mchezo unaopendwa sana duniani.
Eng' kanetishet ab kabatik ko kimuchi keyai botishet ko tonon,Kwa kuwafunza wakulima tunaweza kuimarisha kilimo nchini.
kesishek chesire elfusiek sisit kigesir,Kesi zaidi ya laki sita       zimedhihirishwa.
Ye negite konyi kokimi logoek chekikole kwaninyi ,"Karibu na nyumba yake kulikuwa na michungwa, minazi na mibuni ambayo ilipandwa na marehemu baba yake."
amu yarobonu kenyoru mororochik,Kwa kuwa masika hayakosi chura!
 Ka lakwenyuu koma lakwa?,Kwani mwanangu si mwana?
Kamet nemoingen kobetyo boiboiyet ngomanyor lagok,Mama asiyejua kuchoka kukosa starehe wala pale waendapo wasio na wana.
Konetik ko inetii somonutik che terotin eng betut age tugul., Walimu hufundisha masomo mabalimbali kila siku.
Kiirwoch Kijasiri yekingowendi olekitokse,Kijasiri aliwaza alipokuwa anaelekea mapokezini.
kitebsot alak eng' kibagenge ak biik alak,Wengine kukaa kwenye genge na wenzao.
yeimi yu Pembe keoldoun silingisiek bokol mut,Ukienda hapa Pembe utauziwa kilo kumi kwa Sh500.
Musarek chebo pandek ko amitwogikap koimen,Uji wa mahindi ni chakula cha jioni
Kotko yaa oretye tinye kebenonik anan makichop komie ko much kokon nyasutiet ab oret,"Lakini endapo barabara ni mbaya yaani zina mashimo au hazikutengenezwa vizuri, ajali huweza kutokea"
Chute chito ngalek ab asoya amu Mache magornatet chechang,Mtu hujiingiza katika ufisadi kwa sababu ya tamaa ya kumiliki mali nyingi
Ofisit notok ko porie ole tononi batishet,Ofisi hiyo iwe ni ya kupambana na namna ya kuimarisha kilimo
kitar Mandela kenyisiek chekikioisechi kerat,Mandela alikamilisha kifungo kizima alichokuwa amehukumiwa. 
kimwochi cheke Mandela kole maitumtumoksei inende,Mandela aliwaambia kuwa alikuwa hatishiki.  
Keam ngwek kotechei chametapkei ak kimnatet,Kula mboga ni kujenga afya na nguvu.
halyet ab emet kowendi ngweny amu makomi ngomnatet eng' emet,uchumi  kuzoroteka husababishwa  na kukosekana namaadili katika jamii.
Kiima mising Kabwotik ab sobenyu kouye kitatoriti tupchoshek chuk,Mawazo juu ya maisha yangu na vipi ningesaidia aila yangu ilinisumbua sana
Kakinyoru gogo kochope amitwogik,Tumempata nyanya akipika chakula
asoya ko ngalyo ne ibu ngemet eng kokwet,Ufisadi ni tendo ambalo huleta uharibifu katika jamii.
Lo oling'wong' missing',Kwenu ni mbali sana
ma korona kityo ukojwet ne korom,"Je, unamkumbuka marehemu Papa Shirandula?"
Kararan somanet ne po iman,"Kwa kweli, elimu ni nzuri"
Musarek chebo mchelek ko amitwogik ap koimen,Uji wa mchele ni chakula cha jioni.
Lelutiet kityo,Makosa tu!
Kiker Kijasiri lagokab sukul chengering ,Kijasiri aliwaona wanafunzi wachache
kinyoru chito ne mang'oloni kamuget kong'alan,bubu amepata uwezo kuongea leo
kiitu Mayowe koskoleng'ut agenge kobunu tuyetab chiboto Liwazo kowo kogeerei meneja ne chorwenyin mising,Mayowe akifika jioni moja katika shirika la akina Liwazo kumwona meneja amaye alikuwa rafiki yake sana.
Koromnatet ab sobet kokates eng' bekunetab siret,Kupanda kwa gharama ya maisha imechangia kuzoroteka kwa soko
kaimutiet ko konech kimnatet nebo chamiyet missing, Changamoto zinatupa nguvu ya mapenzi zaidi
Kesutik alk kou logoek che yaitu eng' chakindo ko chotok che kimache kealda kityo nda sich logoek,"Mazao mengine Kama vile matunda huoza haraka na hiyo basi hufaa Kuuzwa pindi tu, zinapotolewa mashambani."
 Kowok kasarta okoi kokwongyo.,Muda ukasonga mpaka wakaingiwa na wahaka.
 Megere ile kiatech koino?,Wewe huoni nimejenga kibanda kile?
Netelelchini kebebertab chepkondok eng Kenya ko Njuguna Ndung'u,Anayesimamia idara ya fedha nchini Kenya ni Njuguna Ndung'u
Tagu kouen nia poisyonik ap raini,Shughuli za leo zinaonekana kuwa ngumu sana.
ndatos inyoru tyongiik komeche kosirto eng oret, kuna uwezekano wa kupata wainyama wakivuka barabara.
 Kipir beek eng oree ne bo barak ochei., Walipiga mbizi  kwa ustadi wa juu.
Lagokab olinbo magengeni,Ni watoto wa kule magengeni.
"kitoretu boisietab kerchekab kibgaa kou kitunguinik,ndimuik koboto tangawizi","utumiaji wa dawa za mitishamba kama utumiaji wa vitunguu, limau pamoja na tangawizi umesaidia"
toreto pek chetililen chekie,Naomba maji safi ya kunywa
Kitiendyo biik ab kanisa kochame Chesu eng wasiwasi,Ushirika uliimba nyimbo za kumsifu Mungu kwa shauku.
mungaret neyoe biikap boishet eng olegiamishen,uchumi kwa wafanyabiashara mikahawani.
kinyoru tibik alak moonik aku keib alak,Wasichana walipachikwa mimba na wengine kuolewa.
choo tugul kogertoi biik chechang chetinye somanet nebo boishetab nobishet kobaa komoswek cheechen,Haya yote yataweza kuzuia adinasi wengi walio na masomo ya kazi za kiufundi kuhamia mijini.
konyor kenya bilionoshiek nebo rabinik ak chekimache rabinik choto ko kimach koam kotar,Kenya ilipokea mabillioni ya pesa na walafii waliojitia wanakandarasi walitumia pesa hizi vibaya.
ko mayem kiboisien robinik che katikiotoi  kealen chanjo. ,Isitoshe pesa za uwekezaji pia zimenunuliwa chanjo.
kilyachi  kamet  kotor koriri inye,Ulifanyia nini mama akalia
"Ee, sobondo nyun, ilosu Jehovah ne Kwandanyo","Ee, moyo wangu, msifu Yesu Kristo baba yetu"
 Kibendii karon kiwanjet ab tiong'ing ab tumin., Kesho tutatembea bustani la wanyama pori.
Eng kokwenyi akometo icheget komotinye gorik kobil ngoroik chekesiebei,wa kiji chao na kuwaacha bila makao wala vyakula sembuse malazi.
robani newon kila oset ab siongiroi ,Mvua kubwa hunyesha kila siku mmisitu ya siongiroi
amune makikese pekap ropta eng petut neroponi,Mbona hatuvuni maji wakati wa masika.
Ameche aeku chepyoso si kikonon tukuk che nyoru chepyoso.,Nataka niwe mwanamke ndipo  waniwegee faida za kuwa mwanamke alisema
 Manai Haji kole nee ibate kimokekoi okot inne.,Haji hakujua ni  nini lakini angekijua pia yeye angekipeana.
kimache tuka karon en Gaa ,Tunataka ngombe huku nyumbani 
"maticham sukaruk che chang', yachen eng' chamanetab borto","usipende kula sukari, ni mbaya kwa afya yako"
kikobetyi kipsomaninik chechang muguka,wanafunzi wamepotelea katika utafunaji wa muguka kutokana na kwamba ni rahisi kuupata.
kikibe banda ne koi si keit Kimbo., Tulifika Kimbo baada ya safari ndefu.
Kalabtoi boishinik mising akoba kimnatet mising eng sipitalishek,Huboresha huduma za kimsingi na ni muhimu sana kule hospitalini
Kotach kaperuret eng' poipoiyet ne oo,"Kwa furaha tele, walipokea baraka "
Kukusich emet turii eng ngony murenik ak kwonyii.,Nchi imezalisha mabingwa wa dunia kwa wanaume na wanawake.
chechang che kochut ole chang cheyach,Wengi wao walijiunga katika magenge mbalimbali. 
mageer missing ngalechoto sugulishek an aeng eng somanet , katika shule za upili kupuuza maneno haya
"kigoos kipchirchir kongololi,agoit karit neimuti biik cheimnyasot ago maibet saishek ago muut chegiaumianso koba oleginyoen biik",Sauti ya kipchirchir ilisikika na ambulensi kufika bila kupoteza muda na kuwapeleka majeruhi hospitalini.
"mi chetinyei itondo nebo mayayat,alak ko lelach ak chetinyei itonwek cheburukotin","Kunazo zile ambazo ndani yake huwa na rangi ya mayai, nyingine huwa na rangi nyeupe na aina ya mwisho huwa na mchanganyiko wa rangi ya zambarau na nyeupe, akasema."
"kitirtireni Mayowe kityo,imuchi kosut koris","Mayowe alikuwa anapepesuka tu, ata upepo ungeweza kumbeba."
Kibaibaitynchini kapwatet ab kaa,Tunasherehekea kumbukumbu za familia.
Kigonech Yetindet sobondo ne leel,Yesu alituba maisha mapya alipotufia
amun somanet ab kartasishek ko konyor naet,kwa kusoma vitabu waliweza kupata elimu 
Kole kainenyi ko Kimutai Bett ak ikoini chito newale tebutienyi sawati,Akasema anaitwa Kimutai Bett na atakayejibu swali lake atapewa zawadi
Amune anyun ilosu garisiek ngotko makikonin melekto neo neimin,Basi unanisifia magari ya nini kama hulipwi mshahara mkubwa wa kutosheleza?
Asame ale okonon korenwang  kwak ,Naomba munipee ardhi  zenu 
Kinempchini sait nebo kemi tugul, Tunatenga muda wa kuwa pamoja.
kikwong Mwanzia eng youtichoto,Mwanzia alishangazwa matendo haya
kiibet sobonwekwak konetik alak che kikonyei robinkwak kobunu kipsomanink ,Walimu kadhaa  walijiua kwa kuwa walingoja kulwa kutoka kwa karo
 Mangen ale ketibi ak chii kotinye boiboiye ne oo., Sikujua kukaana mtu inalata furaha tele.
makibistochi let neranik ak ichek kikiyutie kamuge ng'wang',Vijana nao hawakuachwa nyuma kwa kusahauliwa vipawa vyao.
Kitebe eng nerekek ak ngwonindo ,Aliwauliza kwa hamaki na huzuni.
Keam logoek eng petut age tugul,Kula matunda kila siku 
 Kany serii ab logoiwek kimwochkei.,Kangoje wanahabari sasa ilimwambia nadhari yake.  
Kenetis ko ketiny sopet eng orit,Kufundisha ni kugusa maisha kwa kina.
maker amune sikopet pek petushek chechang,sioni kwanini maji yapotee siku nyingi
"Kiyai kounoto laitoriat age nebo emetab murot katam, kimwa","Hivyo ndivyo alivyofanya mfalme mmoja wa huko katika nchi ya Kusini, alisema."
Amche  lakwet  koriri nguni ,Nataka mtoto alilie saa hii
ndo ma inye ndoma omucho,si kwa msaada wako ningeshindwa .
Boisiet nebo kamanut eng olik koibu kolosunet eng mung'areng'ung,Huduma bora kwa wateja hujenga sifa nzuri kwa biashara yako
ngoyai chitugul kalewenenyin aku matikitoret,Kila mtu afanye uamuzi wake na asisaidiwe
Ago magat ingom,Lazima uwe mbunifu.
Sasishet nebo let ko kebaishe rainik ab piik ab emet eng' oret ne makaran,Ufisadi wa mwisho ni kutumia mali ya umma vibaya.
Memoche ikas ngalek  che mwae  Bamongo ,Hautaki kusikia maneno Baba anasema
Kiki isto koba taban che tinyei koroitab korona sikeng'ering' biik che nyoru koroito,Kwa wale wenye corona walitengwa na kuwekwa karantini ili kupunguza uenezaji
chito ngiro ne kimwaa ngakek tugul lemi ngokaik chichang,Ni kidudu mtu gani aliweza kuwavizia na kumwaga mtama penye kuku wengi?
Kekonori pek choto eng mashinit ake asikosich stimet,Maji hayo huekewa mashini fulani ili yawe sababu ya kuzalisha kawi.
ngatutik che rubei keyeshe nechobei,Ni sheria ambayo wizara  andalizi inafuata.
mande akiutye kouyo kiutye kinetap kamngung,Toka kabisa na ukome jinsi ulivyokoma titi la mamako.
ngobiit kanyoishet kobekchini robinik tuiyoshek chechang,kwani kukitokea ajali mashirika mengi hufilisika na kupata hasara.
ane komawe olelo ako saii atinye karit,Mimi sikwenda mbali; lakini sasa nina gari
kikoi komwach chepyosenyi kole maelewan inendet nyikan,Baadaye alimwambia mkewe kwamba hakumwelewa Kijasiri.
ibuu kibichek koroitab malaria,mbu huleta ugonjwa wa malaria
peek chechang kongmey minutiik,maji mengi yanaharibu mimea
ne tinyei taunet ko tinyeikakesunet nyin,chenye mwanzo hakikosi mwisho wake
mache emet ab kenya kochikil namet ab asoya,kenya inafaa kuchukua hatua kwa ufisadi
kikeyutye komosta ne bo werii,Jinsia ya kiume imesahaulika.
biik cheboishe sigaret komuch koyay kobiitu nyasusiet amu much koguul chito agoi koutyen kole kakwerie karit,wa sigara kwani utumiaji huo huweza kusababisha ajali kwa kuwa mtu huendesha bila na kuangalia barabara na ajali kutokea. 
Kiyai koroito nito bo korona ke cheru biik alak che kiaketub asiketub che katukusirtos,ugonjwa huu wa corona umewapelekea kuyafukua makuburi ili wapate nafasi ya kuzika maiti.
ineti sukul kipsomaninik kunaikei ,Shule hufundisha wanafunzi  kujua nfasi yao katika jamii.
kiyach ichege kowoolune olyetab busiek akoi silingisiek tomonwokik sokol kong'ete silingisiek bokol ak sosom,"Hii imewalazimu kuteremsha bei hadi Sh90 kwa mfuko wa kilo mbili, kutoka Sh130 miezi miwili iliyopita. "
koite leet chamee nyu kegeerei mising , zitafika mwisho kama mapendekezo yangu haya yatatiliwa maanani.
Pcheet ab mungaret kokon kebeberuek cheter kotereti koityin olik chechang,Ugawaji wa soko kwa sehemu kadhaa inasaidia kuwafikia wateja wengi 
kinam eut Mandela biik alak chebo emet ak kandoik alak, Mandela aliungwa mkono na wananchi wengi na hata viongozi wengine   
nito ko kikoiim kabwatutik ab  piik,Hii imeathiri watu kisaikolojia.
Mangune sasishet oratinwek chechang,Ufisadi hujitokeza katika aina nyingi 
yoto ole mangunee borsetab biikap emet ago biik cheribe emet ,Hapo ndipo hutokea vurugu ya mwananchi kwa askari.
Mochei lakwengung Ole kitebe aak bukuit nekisomani,Mtoto wako atahitaji pa kuketi na pia kitabu cha kusoma.
eng kosub kee ak kasetit anb daily nation nebo tarik tisap,Kulingana na gazeti la Daily Nation la tarehe tisa
kiitaune korona komosta agenge akuityi age,Corona ilianza kutoka sehemu moja na kufikia nyingine
Amitwogikap karon ko logoek ak pekap logoek,Kiamsha kinywa cha afya: matunda na juisi.
 Kingaran kiwanjaitak rankii cge ngulotei kokonye kotou urerie., Uwanja ilopampwa na rangi tofauti tayari kwa michezo.
Chamei chorwennyu somanet missing',Rafiki yangu anapenda masomo sana
chamiyet nebo kap chii ko u lapkeyet,Upendo wa familia ni kama mwangaza.
kampunishiek ab basishek chemanyor kasit, makampuni wa mabasi ya kusafiria yalipoteza kazi.
Kamkutaindet Jehovah ko kiyaech ine inegei,Mungu alituumba kibinafsi yeye mwenyewe
Nguno komwoe katibait kole akoi kecher inendet eg ngecheret,Hivyo basi katiba inasema kuwa atolewe kitini
kigonyor komiten biik chegiosigitu eng siaset, iliyotokana kwa kupatana kwa watu wazee wa siasa.
talamook ko torurunik chemobiyongsot,nzige ni wadudu wasioshiba
Kikiker rotietab emetinwek che ter,Mipaka ya nchi nyingi ilifungwa.
mamache lukait ne u noto,Sipendi lugha ya namna hiyo.
Naat chichin eng' kokwani,Yule mtu ni maarufu sana katika jiji hili.
Obortosi kityo,Mnapigana tu.
kimwechi che chang' ibset ko mengech aku yutie  somanet,Wengi walijiingiza kwenye ndoa za mapema na kusahau kama kuna masomo. 
nyikanet kotinye ngalek che Chang,Kijasirir alisema na hisi nyingi sana.
"Kitoret kobal olekitoretekei, kokoch mengik kibatinik akotesyi neranik boisionikab bandaptai","Alisaidia kuchimba vyoo, kuwapa wakazi mabati na kuwashirikisha vijana katika shughuli mbalimbali za maendeleo."
karwokindet koyae kasit,Wakili anashughulika.
Cherubei ko kamanisheik ab teksosiek ,Zifuatazo ni miongoni mwa umuhimu wa miundo msingi. 
chito ne nyikan ko kararanit eng ngoroik chi che katekeole,Kijasiri alipendeza katika mavazi yake mapya.
Mokirib kahawechoto komir akimwa Emali kole Kairi batet akomi olyet ngweny ,Mibuni hiyo haikutunzwa vyema sana maana Emali alilalamika kuwa ilimchosha na kumvunja mgongo hali bei ilikuwa duni.
langok ko taretech eng petushiek chebo tai,Watoto ni ahadi ya kesho yetu.
Kitulee muguleldo nyun kindait amu kimongen kiy nekikenyo,Nilipofika moyo ulinidunda maana sikujua kilichokuwa kinaningoja
Nganda ki mogoriotab kotugul,Japo alikuwa mkwasi daima.
biik chemengech chechang koyae tyemutik choto uwanjet ak oret koyaagis ,Vijana wengi wanafanya mazoezi hayo uwanjani na barabarani hivi kusababishwa.
Bukutit ne tilil kokiboisie eng kaniset keamndo,Bibilia ni kitabu kitumikacho kanisani 
Kiyay kanisa saet ab biik chikikibatisani ,Kanisa lilifanya ibada ya ubatizo kwa waumini wapya.
"eng' barakutab choto, kaimutietab somok nebo kaimutietab korona koibu katiegei nebo emotinwek","Juu ya hayo, changamoto la tatu la janga la Corona linaleta utegemezi wa nchi kwa nchi."
Nito komache asikoker nyikisindo nebo kuraisiek tukul,Hili linalenga kusawazisha uzito wa kila kura.
Miten pik imbar  che tuten nea ,Kuna watu wachache  shambani
ne makasei neoo ko ile keldo nyin,"Asiyesikia la mkuu, huvunjika guu."
Memuchi memuch kimwa.,Hawawezi walai hawawezi alisema
Kinwach banda nepo wekset amu kikangetio bik che chang,Safari ya kurudi ilikuwa fupi kwa sababu wengi wetu walikuwa wamechoka.
 Monyoruu chii tibiik kwak.,Dada zao hawapatikani.  
kojan ko kanyaindet ne naat  nea en Malawi ,Dkt  Kojan anajulikanna sana pale malawi 
kengeme keretab ngweny yoto mito kobiregei biik ,Haya huharibu mazingira kwani matawi hukatwa wakati wa maandamano.
Mianug'ik che seriat ko kokobwa amu kiboishe amitwogik chetinye sumut chechang',Magonjwa kama vile ya saratani yameingia sasa kwa kutumia vyakula tayari ambavyo vimejazwa kemikali 
Kinetii  lakok chuno mengech korat kweyonik.,Watoto wale wadogo wanafunzwa kufunga viatu.
maimuch ko ng'etio kampunisiek alak ya kakubata kaimutietab korona,Kampuni zingine hazikuweza kuamka baada ya janga hilo la corona
Kiteche tilyandit,. Tunajenga mazingira yanayostawisha upendo.
