Kidaw'ida,Kiswahili
Elimu ni wuwekezaji ghupoiye,Elimu ni uwekezaji bora.
Deko na ijukumu jehifadhi misidu,Tuna jukumu la kuhifadhi misitu.
Chia ipoiye yejifundisha mi kwa mabonyo,Njia bora ya kujifunza ni kwa vitendo.
Kupoilwa ni ilagho ja thamani,Furaha ni jambo la thamani.
Mchezo gwa moira ghwa mindi ghwmanyikie,Mchezo wa mpira wa miguu ni maarufu.
Kuseliwe kura kofia ya wusalama,Usisahau kuvaa kofia ya usalama.
Nguvu ya akili ni muhoimu,Nguvu ya akili ni muhimu.
Matuku ghose nadapoilwa kuka na marafiki,Siku zote ninafurahi kuwa na marafiki.
Kulola sere ni ilagho ja munimu,Utafutaji wa amani ni jambo la thamani.
Wusalama ni kipaumbele chedu,Usalama ni kipaumbele chetu.
Navutilwa ni historia ya wurumwengu,Nimevutiwa na historia ya dunia.
Kushoma ni mfunguo ghwa maisha,Kusoma ni ufunguo wa maarifa.
Lukundo lwa familia ni lwa kipekee,Upendo wa familia ni wa kipekee.
Nguwo riko rielie ni muhimu,Nguo safi ni muhimu.
Kudeka ni sanaa,Kupika ni sanaa.
Tumia ngelo na wana wako,Tumia muda na watoto wako.
Kuseliwe kunywa machi gha kutosha,Usisahau kunywa maji ya kutosha.
Dekona ifungu jehifadhi machi,Tuna wajibu wa kuhifadhi maji.
Wulongozi ni sifa ya kipekee,Uongozi ni sifa ya kipekee.
Lukundo ni wughanga gha ngolo,Upendo ni dawa ya moyo.
Kusikitra ni muhimu katika mawasiliano,Kusikiliza ni muhimu katika mawasiliano.
Bahati ni ilagho ja bahati,Bahati ni jambo la bahati.
Isi ni raiya wa dunia ihi,Sisi ni raia wa dunia hii.
Wapishi wadajifundisha kudeka kwa ngelo,Wapishi wanajifunza kupika kwa muda.
Kushoma vuo ni chia yeelimika,Kusoma vitabu ni njia ya kuelimika.
Wusafi ni suti kwa afya,Usafi ni muhimu kwa afya.
Mazingira ghedu ghwawehitaji kutunzwa,Mazingira yetu yanahitaji kutunzwa.
Elimu ni mfunguo ghwa mafanikio gha badae,Elimu ni ufunguo wa mafanikio ya baadaye.
Poilwa ni nila hatua ya maisha ghako,Furahia kila hatua ya maisha yako.
Isi ni familia imweri,Sisi ni familia moja.
Nyonyi ridima kuka na rangi ripoiye,Ndege wanaweza kuwa na rangi nzuri.
Hakuna kilambo chipoiye sa kiuka na kupoilwa,Hakuna kitu kizuri kama kuwa na furaha.
Kila ilagho jidimikana kwa bidii,Kila kitu kinawezekana kwa bidii.
Jifundishe kufuma kwa makosa ghako,Jifunze kutoka kwa makosa yako.
Deka na nafasi imweri tu yeishi,Tuna nafasi moja tu ya kuishi.
Kazi ipoiye yawehitaji wustadi,Kazi nzuri inahitaji ustadi.
Chia ipoiye yejifundsha ni kwa kukotia makoto,Njia nzuri ya kujifunza ni kwa kuuliza maswali.
Kuseliwe kurwa vadu va wusalama,Usisahau kuvaa viatu salama.
Picha ni chia yerekodi maghesho,Picha ni njia ya kurekodi kumbukumbu.
Mazirngira ni mali yedu,Mazingira ni mali yetu.
Deko na ifungu jetesia wazima,Tuna wajibu wa kusaidia wengine.
Kila ituku ni inoso,Kila siku ni zawadi.
Kaa na matumaini katika maisha,Kuwa na matumaini katika maisha.
Lindia marafiki wako kwa busara,Chagua marafiki wako kwa busara.
Deko na ijukumu jehifandi izanga,Tuna jukumu la kuhifadhi ardhi.
Poilwa kila ngelo pamoja na familia yako,Furahia kila wakati pamoja na familia yako.
Bahati ni matokeo ghejiduma,Bahati ni matokeo ya juhudi.
Dekona ifungu jetunza bahari,Tuna wajibu wa kutunza bahari.
Kusetime kuvisa wuloli,Usijaribu kuficha ukweli.
Kusafisha nyumba ni ijukumu jedu,Kusafisha nyumba ni jukumu letu.
Ndoa ni ahadi ya loli,Ndoa ni ahadi ya dhati.
Lukundo lwa loli jingi ndelufue,Upendo wa kweli haujawahi kufa.
Tumia ngelo na wakundwa wako,Tumia muda na wapendwa wako.
Wanake wawehitaji kulelwa nicha,Watoto wanahitaji malezi bora.
Ndekuna anduangi kupoiye sa mzinyi,Hakuna mahali pazuri kama nyumbani.
Kuseliwe kuka mwangaifu barabarenyi,Usisahau kuwa mwangalifu barabarani.
Kushoma ni chia ipoiye yejifundisha,Kusoma ni njia bora ya kujifunza.
Poilwa ni kila hatua ya safari yako,Furahia kila hatua ya safari yako.
Kuseliwe kubonya mazoezi,Usisahau kufanya mazoezi.
Ngozi yako yefwanana kulindilwa na iruwa,Ngozi yako inapaswa kulindwa na jua.
Kuseliwe kushukuru kwa marasimio ghako,Usisahau kushukuru kwa baraka zako.
Kazi ipoiye yadima kureda mafanikio,Kazi nzuri inaweza kuleta mafanikio.
Kuke na kuwesera katika maisha,Kuwa na subira katika maisha.
Wanake ni hazina yedu ya badae,Watoto ni hazina yetu ya baadaye.
Kuseliwe kujali afya yako,Usisahau kujali afya yako.
Nyonyi ridima kusafiki kwa haraka kuchumba,Ndege wanaweza kusafiri kwa kasi.
Nawepoilwa ni asili ya mazingira,Furahia asili na mazingira.
Chia ipoiye yebonya ilagho ni kwa kujiduma,Njia bora ya kufanya jambo ni kwa bidii.
Kuka na kupolikwa ni ilagho ja thamani,Kuwa na furaha ni jambo la thamani.
Lukungo ni lugha ya wurumwengu,Upendo ni lugha ya ulimwengu.
Deko na ijukumu jelindia wanyama,Tuna jukumu la kulinda wanyama.
Isi ni raiya wa wurumwengu,Sisi ni raia wa dunia.
Kusikira ni ilagho ja muhimu,Kusikiliza ni jambo la muhimu.
Isi ni familia imweri,Sisi ni familia moja.
Poilwa ni kila ituku ja maisha,Furahia kila siku ya maisha.
Chia ipoiye yejifundisha ni kwa kubomya makosa,Njia nzuri ya kujifunza ni kwa kufanya makosa.
Wusalama ni ilagho ja kipaumbele,Usalama ni jambo la kipaumbele.
Kila ituku ni inori kufuma kwa Mulungu,Kila siku ni zawadi kutoka kwa Mungu.
Idime ni ituku jipoiye ja iruwa na ndoo kuela kabisa,Leo ni siku nzuri ya jua na anga likiwa wazi kabisa.
Familia yapo yadapoilwa kuja andwamweri kila jioni,Familia yangu inapenda kula pamoja kila jioni.
Napoilwa kusikira maza ripoiye kufuma kwa rafiki wapo,Nimefurahi kusikia habari njema kutoka kwa rafiki yangu.
Safari yeenda mbugenyi yekoghe yesisimua saana,Safari ya kwenda mbugani ilikuwa ya kusisimua sana.
Neko na kutatizika kwa kujifundisha lugha mbishi,Nina shauku ya kujifunza lugha mpya.
"Ighesho jezoya skilu ,bishi kijijinyi kedu jedeughwa mkono ni jamii ndazi",Wazo la kuanzisha shule mpya katika kijiji chetu liliungwa mkono na jamii nzima.
Wandu wamu wadakaiya nyumbenyi rawo eri kuepuka hali rizamie ra hewa,Watu wengine hukaa ndani ya nyumba zao ili kuepuka hali ya hewa mbaya nje.
Safari yedu yesafiri kuenda mbugenyi yekoghe yesisimua sana,Safari yetu ya kusafiri kwenda kwenye mbuga ya wanyama porini ilikuwa ya kusisimua sana.
"Dedimeghe kuwona shimba, chovu, ndigha  katika mazingira ghawo","Tuliweza kuona simba, tembo, na pundamilia katika mazingira yao asilia."
Maaghi gha chia na nyumbara ra wandu ago maeneo ni gheshinua,Miundombinu ya barabara na makazi ya watu katika eneo hilo yanastajabisha.
Neko na itamanio kusafiri kuenda vituo va bahari hindi,Nina hamu kubwa ya kusafiri kwenda kwenye visiwa vya Bahari Hindi.
Kukae mndu womkasa Mlungu matuku ghose,Kuwa mtu wa kumcha Mola siku zote
Chuki kati ya wanajamii matuku ghose hureda hasara,Chuki baina na wanajamii siku zote huleta hasara
Kusaghua viloghozi wifwane kwa jamii kwadareda maendeleo,Kuchagua viongozi bora katika jamii huleta maendleo
Matuku ghose bidii ni msingi ghwa maendeleo,Siku zote bidii ni msingi wa maendeleo
Wufisadi kati ya vilongozi kwareda hasarambaa,Ufisadi miongoni mwa viongozi umesababisha hasara kubwa
Kughitunza mazingira ni ijukumu ja kila umweri,Kuyatunza mazingira ni jukumu la kila mmoja weu
Wukulima nigho iindi ja mghongo ja mazangamenhi Africa,Ukulima ndio uti mgongo wa uchumi wa nchi nyingi Africa
Madini nmi raslimari rawepaswa kutumilwa nicha,Madini ni raslimali ambazo zinazopaswa kutumiwa vyema
Wanake wefwana kufundishwa tabia ripoiya kowokia mwanake ghwawo,Watoto wanapaswa kufunzwa maadili tangia wakiwa wachanga
Ni ncha kuwishukuru walimu kwa kazi iboiye wawebonya,Ni wvyma kwawashukuru walimu kwa kazi nzuri wanayofanya
Kulipa wushuru ni ijukumu ja kila muizanga,Kulipa Ushuru ni kujuku la kila mwananchi
Kujumuika na wanajamiii kwadareda mahusiano ghipoiye,Kujumuika na wanajamii huleta mahusiano mema
Vindo va kiasiki vapoiye kuchumba va kiitanaha,Vyakula vya kiasili ni bora kuliko vya kisasa
"Kumughia wutamaduni,asili nahistoria ni muhimu sana","Kuzingatia utamaduni, asili na historia ni muhali sana"
Mwanafunzi upoiye ni uja uko na tabia ripoiye na ishima ja hali ya ighu,Mwanafunzi bora ni yule mwenye tabia njema na nidhamu ya hali ya juu
Wukame ghukazidi ghwadareda maafa mabaa kwa wakulima na walisha,Ukame ukizidi huleta maafa makubwa kwa wakulima na wafugaji
Ni ncha ngera walisha wilishagha nyamandu tofauti  tofauti,Ni bora iwapo wafugaji watafuga wanyama mbalimbali
Ni ncha zaidi wakulima wikawa vindo tofauti tofauti,Ni vyema zaidi wakulima wakipanda vyakula tofauti
Kuwika magome ni ishomo muhimu saana kwa zoghori,Kuweka akiba ni stadi muhimu saana katika biashara
Kunughia matumizi gha magome ni ishomo muhimu kwa maendeleo gha kimagome,Kuzingatia matumizi ya fefha ni stadi muhimu kwa maendeleo ya kifedha
Wananchi wefwana kukabia kura vilongozi wifwane,Wananchi wanapaswa kupigia kura viongozi bora
Vilongozi wefwana kuhudumia wananchi bila kubagua ungi,Viongozi wanapaswa kuhudumia wananchi bila kubagua yeyote
Kusikira mziki na kughucheza kwadima kukuburudisha na kukupumzisha akili,Kusikiza mziki huku ukicheza inaweza burudisha na kupumzisha akili
Kuhudhuria tamasha ra kimziki ni sanaa yeburudisha zaidi,Kuhudhuria tamasha za kimziki na sanaa huburudisha mno
Skulu ija yeaghwa kavui na moda,Shule ile imejengwa karibu na njia
Vua nyingi yanyee ikasababisha mafuriko,Mvua nyingi imenyesha ikasababisha mafuriko
Wananchi wawelomba msaada ghwa serikali,Wananchi wanaomba msaada wa serikali
Teknologia yarahisisha mawasiiano kose wurumwengunyi,Teknologia imerahisisha mawasiliano duniani kote
Teknologia yanona ishima kati ya washomi,Teknologia imeathiri nidhamu miongoni mwa wanafunzi
Teknologia yarahisisha mashomo kwa kiwango kibaa,Teknologia imerahisisha masomo kwa kiwango kikubwa
Walindiri wusalama wawesisitiza wumuhimu ghwa amani,Walinda usalama wanasistiza umuhimu wa amani
Waisanga wefwana kunugha sheria kikamilifu,Wananchi hupaswa kufwata sheria kikamilifu
Wufundi na mashomo gha kifundi ghawezidi kupoi isangenyi,Ufundi na mafunzo ya kifundi yanazidi kuboreka nchini
Wulevi kuchumba kioimo ghwadareda maghara gha afya na kijamii,Ulevi kupindukia huleta madhara ya afya na kijamii
Madereva ndewifwane kunywa na kuendesha igare,Madereva hawaruhusiwi kulewa na kutembesha mgari
Mashomo ni gha muhimu saana,Maomo ni ya muhimu saana
Ni ncha wai na wadawana wishome,Ni vizuri wasichana na wavulana wasome
Msarigho gwa mindi gwapoiyagha wandu wengi saana,Kandanda inapendwa na watu wengi saana
Misarigho ratesiagha kujumuisha jamii,Michezo husaidia kujumuisha jamii
Kila jamii yeko na wutamaduni ghwake,Kila jamiii ina utamaduni wake
Kila mndu woko na miri na asili yake,Kila mtu ana mizizi na asili yake
Lukundo ni hisia ipoiye saana,Upendo ni hisia nzuri saana
Wanake wefeana kuneka ishima wandu wabaa,Watoto wanapaswa kuheshimu watu wazima
Africa yeka na mazanga mrongo isanu na inya,Africa ina nchi hamsini na nne
Karne ni miaka ighana jimweri,Karne ni miaka mia moja
Wuvivu ghadareda wuzumba gwa hali ya juu,Uvuivu huleta umaskini wa hali ya juu
Mwatukituki warahisisha mawasiliano kwa kiwango kibaa,Simu zimerahisisha mawasiliano kwa kiwango kikubwa
Mitorori yarahisisha wusafiri saana,Magari yamerahisisha usafiri saana
Mmangi wa isanga nuo kilongozi mbaa zaidi isangenyi,Rais ndiye kiongozi mkuu zaidi nchini
Machifu wadawakilisha mmangi wa isanga vijijinyi,Machifu huwakilisha rais vijijini
Wuzuri ni kuka na mali nyingi,Utajiri ni kuwa na mali nyingi
Izanga ja Kenya jeko na wazuri wengi,Nchi ya kenya ina matajiri wengi
Wuzumba ni kusowa mali putu,Umaskini ni kukosa mali kabisa
Izanga ja kemya jeko na wazumba wengi,Nchi ya kenya ina maskini wengi
Waisanga wawetegemeas serikali iwitesie,Wananchi wanategemea serikali kuwasaidia
Huduma ra kiafya ni ra suti saana kwa maisha,Huduma za afya hi muhali saana kwa maisha
Huduma ra wusalama ni ra suti saana,Huduma za usalama ni muhimu saana
Isanga jachurikia saana kimaendeleo,Nchi imeongezeka saana kimaendeleo
Washomi waka wengi wa mashomo tofauti,Wasomi wamekuwa wengi wa masomo tofauti
Wutoi na wujambazi ghapungua saana,Wizi na ujambazi umepungua saana
Waisanga waweendelea kimagome na kimali,Wananchi wanaendelea kifedha na kimali
Mzi ughu ghoko na skulu nyinyi,Mji ule ina shule nyingi sana
Mzi ughu ndeghuna bistali ra kutosha,Mji ule hauna hosptali za kutosha
Kiiji ichi ndechina barabara ripoiye,Kijiji hiki hakina barabara nzuri
Misarigho ni muhimu kwa afya ra wandu,Michezo ni mhimu kwa afya ya watu
Wuaminifu na lukundo vachumba ghose,Uaminifu na upendo huzidi yote
Na aw'o w'inughagha bea ra mumbi ndew'idimagha kumrira Mlungu.,Watu wanaotii matakwa ya mwili hawawezi kumpendeza Mungu.
Baa w'awi kuchumba umweri.,Ni afadhali wawili kuliko mmoja.
Vua mbaha yaw'esuw'irilwa mori ghuchagha.,Mvua kubwa inatarajiwa mwezi ujao.
Dikekwana kunizeraa ghose.,Tukikutana utaniambia yote.
Nazughwa shuu.,Nahisi njaa sana.
Kimu cha vifurute.,Msimu wa vipepeo.
Napoilwa shuu.,Nimefurahi sana.
Choo mzinyi.,Kuja Nyumbani.
Dimkase Jesu.,Tumsifu Yesu.
Chofi yadareda zua.,Pombe huleta balaa.
W'aw'aye ni mrighiti.,Babuye ni mganga.
Mumi wake ni kitoi.,Mumewe ni jambazi.
Maghi ana ghachika.,Mayai manne yamevunjika.
Dikundane diw'eni kwa diw'eni.,Tupendane sisi kwa sisi.
Nambe ngamanya yadacha nanyuma.,Majuto ni mjukuu.
Agha ni matuku gha kutua mbai.,Hizi ni siku za mwisho.
Kwamanya maza ndazi.,Umejua mambo mengi.
Jesu wamerie ghose.,Yesu alimaliza yote.
Mae wafwa imbe.,Mamake kafa asubuhi.
Machi ni irangi.,Maji ni uhai.
W'alodi w'a tee w'echachurikia.,Manabii wa Uongo wameongezeka.
Kwaela kwalangala.,Kumekucha kumepambazuka.
Hikima yaw'adie fwaida mbaa kuchumba fedha.,Hekima ni bora kuliko fedha.
Kusekebonya iriso na mndu otumia ndighi.,Usimwonee wivu mtu mkatili.
W'andu w'iboilwagha ni kubonya maw'iw'i.,Watu wafurahiao kufanya maovu.
Ituku jimu jiboie dimkase Mlungu.,Siku ingine nzuri tumsifu Mungu.
Wadihoresha makongo.,2Ametuponya mgonjwa.
Funya mifugho w'azenyi.,Toa mifugo bomani.
Midi idareda vua.,Miti huleta mvua.
Malagho Mengi ghesesea-sesea.,Maneno mengi ya kubembeleza.
Orekoghe na w'wana ghodeda ghuseko na w'aya.,Alikuwa  wa makelele na mkaidi.
Saghua mafundisho w'ulalo ghwa feza.,Chagua mafundisho badala ya fedha.
Mndu ukaniw'ona waaw'ona irangi.,Anayenipata mimi amepata uhai.
W'ose w'izamilwagha ni ini w'eekunda kufwa.,Wote wanaonichukia wanapenda kifo.
Nerevaloghe kipindi bahari riseko.,Nilizaliwa kabla vilindi vya bahari.
Mmbiw'i wadaghushwa ni w'uw'iw'i ghwake.,Muovu huanguka kwa uovu wake mwenyewe.
W'azumba wa Mlungu.,Watumishi wa Mungu.
Fwana ya matiriro gha Kristo.,Mfano wa mateso ya Kristo.
Igho jiko moyo na iyo mbari ya wueli.,Jiwe hai na Taifa takatifu.
Matiriro kwa kubonya nicha.,Kuteseka sababu ya kutenda mema.
Kughaluka kwa marangi.,Maisha mapya.
W'azighaniri w'echa w'a manosi gha Mlungu.,Wakili mwema wa zawadi za Mungu.
Chagha cha Mlungu.,Kundi la Mungu.
Voro ra kutua.,Salamu za mwisho.
W'ashahidi dighuwonie w'ubaa ghwa Kristo.,Tuliouona utukufu wa Kristo.
W'alimu wa tee.,Walimu wa Uongo.
Ilagho ja irangi.,Neno la uhai.
Mlungu ni Mwengere.,Mungu ni Mwanga.
Kuw'itanya w'azima.,Kuwahukumu wengine.
"Lomba, Lola.","Omba, tafuta, bisha ."
Mnyango msuse.,Mlango mwembamba.
Mdi ghwadamanyika kwa matunda gharo.,Mti hujulikana kwa matunda yake.
Seremmanyireghe inyo.,Siwajui nyinyi.
W'aaghi w'awi.,Wajenzi wawili.
Nguma ya Jesu.,Mamlaka ya Yesu.
Jesu oreboisireghe w'andu w'iko na sima.,Yesu aliponya wakoma.
Ikoto aighu yefunga tumu.,Suala juu ya kufunga.
W'iw'urie kufuma wubarishonyi.,Waliorudi kutoka uhamishoni.
Dikaendelia na charo chedu.,Tuliendelea na safari yetu.
Kuboilwa kwa loli.,Furaha ya kweli.
Mzuri usaghulo ni Mlungu.,Mfalme mteule wa Mungu.
Kulomba w'utesia nakesho.,Kuomba Msaada Asubuhi.
Kulomba w'utesia nakenyi.,Kuomba msaada jioni.
Ilombi jelomba w'ulindiri.,Sala unapotafuta ulinzi.
Sikira kuruma kwapo.,Sikia ninavyopiga kite.
